quote,author,book
"When we accept the temporary nature of everything in our lives, we can feel gratitude for the good fortune of getting to borrow them for a time.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Albert Einstein said, If you cant explain something simply, you dont understand it well enough.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"According to the Gita, these are the higher values and qualities: fearlessness, purity of mind, gratitude, service and charity, acceptance, performing sacrifice, deep study, austerity, straightforwardness, nonviolence, truthfulness, absence of anger, renunciation, perspective, restraint from fault finding, compassion toward all living beings, satisfaction, gentleness/kindness, integrity, determination.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Mudita is the principle of taking sympathetic or unselfish joy in the good fortune of others. If I only find joy in my own successes, Im limiting my joy. But if I can take pleasure in the successes of my friends and familyten, twenty, fifty people!I get to experience fifty times the happiness and joy. Who doesnt want that?
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"As Pema Chdrn says, You are the sky. Everything elseits just the weather.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"But when we look for the good in others, we start to see the best in ourselves too.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Complainers, like the friend on the phone, who complain endlessly without looking for solutions. Life is a problem that will be hard if not impossible to solve. Cancellers, who take a compliment and spin it: You look good today becomes You mean I looked bad yesterday? Casualties, who think the world is against them and blame their problems on others. Critics, who judge others for either having a different opinion or not having one, for any choices theyve made that are different from what the critic would have done. Commanders, who realize their own limits but pressure others to succeed. Theyll say, You never have time for me, even though theyre busy as well. Competitors, who compare themselves to others, controlling and manipulating to make themselves or their choices look better. They are in so much pain that they want to bring others down. Often we have to play down our successes around these people because we know they cant appreciate them. Controllers, who monitor and try to direct how their friends or partners spend time, and with whom, and what choices they make. You can have fun with this list, seeing if you can think of someone to fit each type. But the real point of it is to help you
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Too often we love people who dont love us, but we fail to return the love of others who do.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"It is impossible to build ones own happiness on the unhappiness of others.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Location has energy; time has memory. If you do something at the same time every day, it becomes easier and natural. If you do something in the same space every day, it becomes easier and natural.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"It is better to live your own destiny imperfectly than to live an imitation of somebody elses life with perfection. Bhagavad Gita 3.35
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Heres the life hack: Service is always the answer. It fixes a bad day. It tempers the burdens we bear. Service helps other people and helps us. We dont expect anything in return, but what we get is the joy of service. Its an exchange of love. When youre living in service, you dont have time to complain and criticize. When youre living in service, your fears go away. When youre living in service, you feel grateful. Your material attachments diminish.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"If you dont break your ego, life will break it for you.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Lifes too short to live without purpose, to lose our chance to serve, to let our dreams and aspirations die with us.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"I wish is code for I dont want to do anything differently.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"When you try to live your most authentic life, some of your relationships will be put in jeopardy. Losing them is a risk worth bearing; finding a way to keep them in your life is a challenge worth taking on.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"The arrogant ego desires respect, whereas the humble worker inspires respect.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Negativity is a trait, not someones identity.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"As researchers Anders Ericsson and Robert Pool underscore in their book Peak, mastery requires deliberate practice, and lots of it. But if you love it, you do it. Picasso experimented with other forms of art but kept painting as his focus. Michael Jordan did a stint at baseball, but basketball was where he really thrived. Play hardest in your area of strength and youll achieve depth, meaning, and satisfaction in your life.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Finally, get involved in something thats meaningful to youa hobby, a charity, a political cause.
","Jay Shetty,
",Think Like a Monk: Train Your Mind for Peace and Purpose Every Day
"Its not what happens to you, but how you react that matters.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"We don't create our feelings; they simply come to us, and we have to accept them. The trick is, to welcome them.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"a happy man is too satisfied with the present to dwell on the future.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"We dont create the meaning of our life, as Sartre claimedwe discover it.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Instead of searching for beauty in perfection, we should look for it in things that are flawed, incomplete.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
Keep going; dont change your path.,"Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"when you have a clear purpose, no one can stop you.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Instead of worrying about the past or the future, we should appreciate things just as they are in the moment, in the now.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Only things that are imperfect, incomplete, and ephemeral can truly be beautiful, because only those things resemble the natural world.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"appreciate the beauty of imperfection as an opportunity for growth.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Life is pure imperfection, as the philosophy of wabi-sabi teaches us, and the passage of time shows us that everything is fleeting, but if you have a clear sense of your ikigai, each moment will hold so many possibilities that it will seem almost like an eternity.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Bir eylerin o kadar harika olmadn kabul etmek iyidir ama olaslklarla dolu bir dnyada imdi ve burada olmann bir ayrcalk olduunu asla unutmayn.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"God, give us grace to accept with serenity","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"the things we love are like the leaves of a tree: They can fall at any moment with a gust of wind. He also said that changes in the world around us are not accidental but rather form part of the essence of the universe
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Stop regretting the past and fearing the future. Today is all you have. Make the most of it. Make it worth remembering.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
[...],"Francesc Miralles,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
[...],"Francesc Miralles,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Csikszentmihalyi called this state ""","Francesc Miralles,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Above all, he has to find his purpose, his reason for getting out of bed, his ikigai.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Just as worry often brings about precisely the thing that was feared, excessive attention to a desire (or hyper-intention) can keep that desire from being fulfilled.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"He was simply someone in search of a new lifes purpose; as soon as he found it, his life took on deeper meaning.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"If we try to get rid of one wave with another, we end up with an infinite sea.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"finding flow in the tasks youve chosen to do, eating in a balanced and mindful way, doing low-intensity exercise, and learning not to give in when difficulties arise. In order to do this, you have to accept that the worldlike the people who live in itis imperfect, but that it is still full of opportunities for growth and achievement.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"In an increasingly unpredictable world moving ever more quickly, a detailed map may lead you deep into the woods at an unnecessarily high cost. A good compass, though, will always take you where you need to go. It doesnt mean that you should start your journey without any idea where youre going. What it does mean is understanding that while the path to your goal may not be straight, youll finish faster and more efficiently than you would have if you had trudged along a preplanned route.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Can someone really retire if he is passionate about what he does?
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"One thing that everyone with a clearly defined ikigai has in common is that they pursue their passion no matter what. They never give up, even when the cards seem stacked against them or they face one hurdle after another.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
,"Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"The key is to accept that there are certain things over which we have no control, like the passage of time and the ephemeral nature of the world around us.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Taking a hit or two can be viewed as either a misfortune or an experience that we can apply to all areas of our lives, as we continually make corrections and set new and better goals.
","Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
Happiness is always determined by your heart.,"Hector Garcia Puigcerver,
","Ikigai: The Japanese Secret to a Long and Happy Life, The Little Book of Lykke, Lagom: The Swedish Art of Balanced Living"
"Every action you take is a vote for the type of person you wish to become. No single instance will transform your beliefs, but as the votes build up, so does the evidence of your new identity.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"You do not rise to the level of your goals. You fall to the level of your systems.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"You should be far more concerned with your current trajectory than with your current results.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"When you fall in love with the process rather than the product, you dont have to wait to give yourself permission to be happy. You can be satisfied anytime your system is running.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Goals are good for setting a direction, but systems are best for making progress.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Habits are the compound interest of self-improvement
","James Clear,
",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones
"When nothing seems to help, I go and look at a stonecutter hammering away at his rock, perhaps a hundred times without as much as a crack showing in it. Yet at the hundred and first blow it will split in two, and I know it was not that last blow that did itbut all that had gone before.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Problem #1: Winners and losers have the same goals.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"All big things come from small beginnings. The seed of every habit is a single, tiny decision. But as that decision is repeated, a habit sprouts and grows stronger. Roots entrench themselves and branches grow. The task of breaking a bad habit is like uprooting a powerful oak within us. And the task of building a good habit is like cultivating a delicate flower one day at a time.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Be the designer of your world and not merely the consumer of it.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Every action you take is a vote for the type of person you wish to become.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"The more pride you have in a particular aspect of your identity, the more motivated you will be to maintain the habits associated with it. If youre proud of how your hair looks, youll develop all sorts of habits to care for and maintain it. If youre proud of the size of your biceps, youll make sure you never skip an upper-body workout. If youre proud of the scarves you knit, youll be more likely to spend hours knitting each week. Once your pride gets involved, youll fight tooth and nail to maintain your habits.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
Professionals stick to the schedule;,"James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"The purpose of setting goals is to win the game. The purpose of building systems is to continue playing the game. True long-term thinking is goal-less thinking. Its not about any single accomplishment. It is about the cycle of endless refinement and continuous improvement. Ultimately, it is your commitment to the process that will determine your progress.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"When you cant win by being better, you can win by being different.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Success is the product of daily habitsnot once-in-a-lifetime transformations.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Some people spend their entire lives waiting for the time to be right to make an improvement.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"If you want better results, then forget about setting goals. Focus on your system instead.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"You dont have to be the victim of your environment. You can also be the architect of it.
","James Clear,
",Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones
"We imitate the habits of three groups in particular: The close. The many. The powerful.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"The ultimate form of intrinsic motivation is when a habit becomes part of your identity. Its one thing to say Im the type of person who wants this. Its something very different to say Im the type of person who is this.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"The greatest threat to success is not failure but boredom. We get bored with habits because they stop delighting us. The outcome becomes expected. And as our habits become ordinary, we start derailing our progress to seek novelty.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"With outcome-based habits, the focus is on what you want to achieve. With identity-based habits, the focus is on who you wish to become.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"When scientists analyze people who appear to have tremendous self-control, it turns out those individuals arent all that different from those who are struggling. Instead, disciplined people are better at structuring their lives in a way that does not require heroic willpower and self-control. In other words, they spend less time in tempting situations.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"It is easy to get bogged down trying to find the optimal plan for change: the fastest way to lose weight, the best program to build muscle, the perfect idea for a side hustle. We are so focused on figuring out the best approach that we never get around to taking action. As Voltaire once wrote, The best is the enemy of the good.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Over the long run, however, the real reason you fail to stick with habits is that your self-image gets in the way. This is why you can't get too attached to one version of your identity. Progress requires unlearning. Becoming the best version of yourself requires you to continuously edit your beliefs, and to upgrade and expand your identity.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Good habits can make rational sense, but if they conflict with your identity, you will fail to put them into action.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"In fact, the tendency for one purchase to lead to another one has a name: the Diderot Effect. The Diderot Effect states that obtaining a new possession often creates a spiral of consumption
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"True long-term thinking is goal-less thinking. Its not about any single accomplishment. It is about the cycle of endless refinement and continuous improvement. Ultimately, it is your commitment to the process that will determine your progress.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
"Your actions reveal how badly you want something. If you keep saying something is a priority but you never act on it, then you dont really want it. Its time to have an honest conversation with yourself. Your actions reveal your true motivations.
","James Clear,
",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
Stop trying to impress people.,"Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Self-love is the balance between accepting yourself as you are while knowing you deserve better, and then working towards it.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Ultimately, self-love and raising the level of your vibration go hand in hand. When you make an effort to raise your vibration, you show yourself the love and care you deserve. Youll feel good and attract good. By taking positive actions and changing your mindset, youll manifest greater things. By loving yourself, youll live a life you love.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Its important to recognize that its not unjust to let go of those who show no concern for you.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"We assume success is about being famous, rich","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Not everything I've wanted has manifested. This has usually been a blessing in disguise. Too many times I've believed that I wanted and needed something, but it was all for the wrong reasons. Over the years I've gained clarity and sighed with relief for not getting what I thought was surely meant for me. Often, I've not got what I wanted, only to find I've later been blessed with even more.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"When your life isnt interesting, you tend to focus on other people. You seek excitement and attention from hating others and provoking reactions. This is why memes are so popular on the Internet. People want others to laugh at their attempts at mocking someone else. Theyll do it for likes, comments and shares  for instant gratification.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
Sometimes you have to unplug,"Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"empowering novels like The Alchemist by Paulo Coelho are great,
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Time is precious and you should be investing it wisely by doing something constructive that will make your life greater.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"you cant feel joy without being thankful; being thankful is a vital component of happiness.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Muhammad Ali famously said, To be a great champion, you must believe you are the best. If youre not, pretend you are.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"These stories were demonstrating that my failure wasnt final. Anyone who has accomplished anything great has faced big challenges or failures. But theyre only final if you quit.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Change the way you think, feel, speak and","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Greatness starts with being grateful.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"The Universe is abundant in all areas; the illusion of fear is the only limitation we have.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"if someone says theyre hurt by your actions, you must believe theyre hurt; you cant decide for them whether or not they felt hurt in the first place.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
We make life all about a future that exists,"Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Improving yourself and your life is also self-love, because it means you recognize that you deserve more than settling for mediocrity.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"However, Ive also learned not to waste time on people who have no interest in what I have to say, or why I say it.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Lack of time isnt an excuse. If you cant make the time for something, its not a high enough priority for you. If something is important to you, youll make the time for it.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"You wont be important to other people all the time, and thats why you have to be important to yourself.","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"We assume that its better to wipe out negative thoughts, numb our feelings and move on to more positive ideas. This is often ineffective because youre just trying to trick yourself into thinking things are okay,
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"A lot of the beliefs we have are based on exaggeration, misconception and opinions imposed on us by other people.
","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"We assume success is about being famous, rich and owning expensive things.","Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
Create a relationship where you talk to each,"Vex King,
","Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness"
"Knowing yourself is step one. Step two is acting on that knowledge.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Derek Sivers, one of my favorite thinkers, says hes a slow thinker: Its a common belief that your first reaction is the most honest, but I disagree. Your first reaction is usually outdated. Either its an answer you came up with long ago and now use instead of thinking, or its triggering a knee-jerk emotional response to something that happened long ago.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"If we want to think straight at all times, we must stay grounded, look at facts, listen to other peoples perspectives, and only then draw practical conclusions.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Remember: The quality of our thoughts determines the quality of our lives. And our decisions are a result of our thoughts.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"When Nietzsche said that there are no facts, he meant that we, as human beings, ultimately rely on our interpretations of reality. Theres no way to confirm reality objectively. That doesnt mean nothing is real and that were all living in a big dream. We just have to realize that facts are not the same thing as the truth.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Good things come to those who wait,
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"What Im trying to say is that when someone asks you a question, its okay to say, I dont know. You can also say that to yourself. Ive often been too hard on myself because I didnt have an instant answer to my personal problems. That doesnt make you dumb. It makes you human.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"I challenge you, try it for a day. Every two hours or so, sit down and write about what youre thinking at that very moment. Just dont get scared of yourself. Most of our thoughts make no sense at all.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"No matter what you experience in life, and no matter what happens to you, your mind should stay calm under all circumstances
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"train your mind just like you train your body to keep fit.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"I'd rather eat rice and beans so I can do the things that I love instead of having a job that makes me miserable, but pays well. At the end of the day, this is your life and the only way you can live with yourself is to follow your strongest desires. Just make sure you think straight so you eventually act on those thoughts
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Money is a replaceable resource. When you're out of it, you can earn it back. You can't say the same for time. Don't spend too much time thinking about money.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"At the end of the day, thinking by itself is useless without action.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Ive used nothing but my thoughts to live a happier, healthier, wealthier, and more meaningful life.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Ive often been too hard on myself because I didnt have an instant answer to my personal problems. That doesnt make you dumb. It makes you human.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Whatever you do, never waste your thoughts on other peoples ill-informed opinions and guesses.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"you dont regret what you did in life, you regret what you didnt do.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Just go to the Wikipedia for list of cognitive biases. Youll find that most biases seem like common sense. And thats exactly the point. Cognitive biases explain our illogical behavior.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Thinking is the hardest work there is, which is probably the reason why so few engage in it. Thinking is not only hardits the single most important thing in life. Remember: The quality of our thoughts determines the quality of our lives.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"There are no facts, only interpretations.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"Its a common belief that your first reaction is the most honest, but I disagree. Your first reaction is usually outdated. Either its an answer you came up with long ago and now use instead of thinking, or its triggering a knee-jerk emotional response to something that happened long ago.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"William James himself once said: The greatest use of a life is to spend it on something that will outlast it.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
"When we sit down and observe our thoughts for a few minutes, we will notice that a lot of things flow through our mind. The thoughts are just there. Nothing we can change about that. But since we have free will, we can decide which thoughts we focus on. Hence, we can influence the direction of consciousness. This realization is critical to the way we live. Its the difference between I cant help but feel this way and I feel this way because I decided to feel this way.
","Darius Foroux,
","THINK STRAIGHT: Change Your Thoughts, Change Your Life"
